vectorizer,similarity_metric,min_df_param,max_df_param,language,langfilter,accuracy (%),accuracy (average relevancy > 0) (%),ndcg,ndcg (full rank)
tfidf,cosine,0.3,0.5,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.8,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,900,0.8,go,True,13.855421686746988,13.461538461538462,0.10388009163993257,0.02744518655670567
tfidf,cosine,0.5,0.8,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.0,0.5,go,False,24.096385542168676,25.961538461538463,0.25930620142741867,0.0713768816054553
tfidf,cosine,0.0,0.4,go,False,24.096385542168676,25.961538461538463,0.25930620142741867,0.07144040037919028
tfidf,cosine,0.0,0.7,java,True,22.878228782287824,23.569794050343248,0.21933221822331725,0.1017504057318828
tfidf,cosine,0.4,0.7,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.4,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,1.0,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.8,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.6,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,600,1.0,javascript,True,18.181818181818183,18.072289156626507,0.1608317489301843,0.06669178953694645
tfidf,cosine,0.01,0.4,go,True,2.4096385542168677,1.9230769230769231,0.013067040369730073,0.0024379594674641828
tfidf,cosine,700,1.0,python,True,17.89686552072801,18.20250284414107,0.21500525912132087,0.09204985369913371
tfidf,cosine,0.3,0.9,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,1.0,java,False,3.936039360393604,4.576659038901601,0.055615643444455715,0.021686247939834563
tfidf,cosine,800,1.0,python,True,17.89686552072801,18.20250284414107,0.21420512898707203,0.0914916477578374
tfidf,cosine,0.01,0.5,python,True,5.763397371081901,6.370875995449373,0.08226086281464104,0.03224950724604619
tfidf,cosine,900,0.9,javascript,True,16.30094043887147,17.46987951807229,0.15892820990276385,0.06448532598724868
tfidf,cosine,800,0.9,javascript,True,16.927899686520377,17.46987951807229,0.15892820990276385,0.0646626763552465
tfidf,cosine,0.2,1.0,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.3,0.6,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.01,0.7,python,False,6.572295247724974,6.825938566552901,0.08973002312757111,0.036702097823674715
tfidf,cosine,0.1,0.6,java,False,0.24600246002460024,0.0,0.0,0.0
tfidf,cosine,0.01,0.7,java,False,3.936039360393604,4.576659038901601,0.05879566026690188,0.022268772762571564
tfidf,cosine,0.3,0.9,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.5,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.7,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,200,0.8,javascript,True,22.25705329153605,24.69879518072289,0.18969714516028338,0.08178302711864867
tfidf,cosine,500,1.0,javascript,True,19.122257053291534,19.879518072289155,0.16778920656744262,0.07006371667334904
tfidf,cosine,0.1,0.5,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.5,0.7,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.05,0.5,python,False,0.10111223458038424,0.11376564277588168,0.0016381085600005339,0.00024820154434913497
tfidf,cosine,0.4,0.8,python,True,0.0,0.0,0.0,0.0
tfidf,cosine,800,0.8,go,True,13.855421686746988,13.461538461538462,0.10388009163993257,0.02592254637515039
tfidf,cosine,0.4,0.9,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,0.5,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,1.0,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.2,0.7,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,1.0,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.7,python,True,0.10111223458038424,0.11376564277588168,0.002387681565420775,0.00036427632906519395
tfidf,cosine,0.2,0.6,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,400,0.9,java,True,21.033210332103323,20.59496567505721,0.18896431378114667,0.09484569586535835
tfidf,cosine,0.0,0.9,javascript,True,21.630094043887148,23.49397590361446,0.20636769822953865,0.0910474715586873
tfidf,cosine,0.6,0.8,javascript,True,0.0,0.0,0.0,0.0
tfidf,cosine,900,0.9,java,True,18.45018450184502,17.84897025171625,0.16182607302043803,0.08103195922337178
tfidf,cosine,0.2,0.5,go,False,0.0,0.0,0.0,0.0
tfidf,cosine,50,0.8,javascript,True,22.884012539184955,25.903614457831324,0.21961614836401103,0.09633054488488561
tfidf,cosine,400,0.8,go,True,16.265060240963855,17.307692307692307,0.15817251239311428,0.03859535341466456
tfidf,cosine,0.1,0.5,javascript,False,0.0,0.0,0.0,0.0
tfidf,cosine,500,1.0,python,True,19.312436804853387,19.795221843003414,0.23299626314424302,0.10241445008439455
tfidf,cosine,0.2,1.0,go,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.4,java,False,0.12300123001230012,0.0,0.0,0.0
tfidf,cosine,0.05,0.4,java,False,0.0,0.0,0.0,0.0
tfidf,cosine,0.4,1.0,python,False,0.0,0.0,0.0,0.0
tfidf,cosine,500,0.8,javascript,True,19.122257053291534,19.879518072289155,0.16778920656744262,0.06989125732940561
tfidf,cosine,800,0.9,go,True,13.855421686746988,13.461538461538462,0.10388009163993257,0.026434707955684374
tfidf,cosine,0.1,0.5,java,True,0.24600246002460024,0.0,0.0,0.0
tfidf,cosine,300,1.0,python,True,21.53690596562184,22.29806598407281,0.2548291400725889,0.12707831401674285
tfidf,cosine,0.01,0.8,java,True,3.936039360393604,4.576659038901601,0.055615643444455715,0.021686247939834563
tfidf,cosine,0.5,1.0,java,True,0.0,0.0,0.0,0.0
tfidf,cosine,0.1,0.6,java,True,0.24600246002460024,0.0,0.0,0.0
tfidf,cosine,0.3,0.6,go,False,0.0,0.0,0.0,0.0
